"Fecha","Proyecto","Tarea","Un","Integrante"
01/07/19,"ProyectoB","Desarrollo",4,
01/07/19,"ProyectoB","Desarrollo",8,
01/07/19,"ProyectoF","Test",2,
01/07/19,"ProyectoK","Revisión",2,
01/07/19,"ProyectoK","Revisión",2,
01/07/19,"ProyectoH","Revisión",8,
01/07/19,"ProyectoF","Revisión",8,
01/07/19,"ProyectoB","Revisión",4,
01/07/19,"ProyectoB","Entrega",2,
01/07/19,"ProyectoF","Corrección",2,
01/07/19,"ProyectoF","Desarrollo",40,
01/07/19,"ProyectoE","Revisión",3,
01/07/19,"ProyectoE","Entrega",2,
01/07/19,"Generales","Asignación",16,
01/07/19,"Generales","Asignación",6,
01/07/19,"ProyectoB","Asignación",2,
01/07/19,"ProyectoB","Asignación",2,
01/07/19,"ProyectoF","Test",2,
01/07/19,"ProyectoF","Enttrega",1,
01/07/19,"ProyectoB","Entrega",2,
01/07/19,"ProyectoF","Test",2,
01/08/19,"ProyectoF","Test",16,
01/08/19,"ProyectoE","Entrega",8,
01/08/19,"ProyectoE","Revisión",32,
01/08/19,"ProyectoL","Test",24,
01/08/19,"ProyectoI","Test",24,
01/08/19,"ProyectoF","Revisión",36,
01/08/19,"ProyectoF","Revisión",2,
01/08/19,"ProyectoM","Test",4,
01/08/19,"ProyectoF","Entrega",3,
01/08/19,"ProyectoL","Desarrollo",112,
01/08/19,"ProyectoB","Desarrollo",8,
01/08/19,"ProyectoB","Revisión",40,
01/08/19,"ProyectoB","Revisión",3,
01/08/19,"ProyectoG","Revisión",1,
01/08/19,"ProyectoF","Test",1,
01/08/19,"ProyectoI","Test",1,
01/08/19,"ProyectoL","Revisión",50,
01/08/19,"ProyectoE","Entrega",34,
01/08/19,"ProyectoB","Revisión",3,
01/08/19,"ProyectoA","Corrección",2,
01/08/19,"ProyectoE","Desarrollo",16,
01/08/19,"ProyectoF","Desarrollo",35,
01/08/19,"ProyectoF","Desarrollo",5,
01/08/19,"ProyectoG","Revisión",3,
01/08/19,"ProyectoH","Revisión",2,
01/08/19,"ProyectoD","Corrección",1,
01/08/19,"ProyectoG","Filtros",16,
01/08/19,"ProyectoG","Revisión",32,
01/08/19,"ProyectoH","Revisión",8,
01/08/19,"Generales","Asignación",16,
01/08/19,"Generales","Asignación",6,
01/09/19,"ProyectoG","Test",3,
01/09/19,"ProyectoB","Test",1,
01/09/19,"ProyectoB","Test",1,
01/09/19,"ProyectoG","Entrega",6,
01/09/19,"ProyectoH","Revisión",32,
01/09/19,"ProyectoH","Revisión",16,
01/09/19,"ProyectoH","Revisión",40,
01/09/19,"ProyectoH","Revisión",10,
01/09/19,"ProyectoF","Revisión",5,
01/09/19,"ProyectoH","Test",2,
01/09/19,"ProyectoH","Test",2,
01/09/19,"ProyectoH","Test",2,
01/09/19,"ProyectoA","Test",8,
01/09/19,"ProyectoL","Desarrollo",140,
01/09/19,"ProyectoL","Test",1,
01/09/19,"ProyectoH","Revisión",32,
01/09/19,"ProyectoB","Corrección",10,
01/09/19,"ProyectoL","Test",8,
01/09/19,"ProyectoI","Revisión",8,
01/09/19,"ProyectoH","Test",8,
01/09/19,"Generales","Asignación",16,
01/09/19,"Generales","Asignación",6,
01/09/19,"ProyectoE","Asignación",2,
01/09/19,"ProyectoB","Asignación",4,
01/09/19,"ProyectoL","Desarrollo",40,
01/09/19,"ProyectoL","Revisión",16,
01/09/19,"ProyectoB","Revisión",2,
01/09/19,"ProyectoA","Corrección",4,
01/09/19,"ProyectoB","Revisión",4,
01/09/19,"ProyectoL","Desarrollo",4,
01/09/19,"ProyectoL","Revisión",8,
01/10/19,"ProyectoJ","Reunión",1,
01/10/19,"ProyectoB","Test",1,
01/10/19,"ProyectoL","Desarrollo",24,
01/10/19,"ProyectoE","Desarrollo",14,
01/10/19,"ProyectoL","Test",4,
01/10/19,"ProyectoB","Test",1,
01/10/19,"ProyectoJ","Capacitación",1,
01/10/19,"ProyectoH","Test",3,
01/10/19,"ProyectoH","Test",4,
01/10/19,"ProyectoI","Test",1,
01/10/19,"ProyectoF","Test",1,
01/10/19,"ProyectoF","Test",1,
01/10/19,"ProyectoI","Desarrollo",10,
01/10/19,"ProyectoJ","Test",1,
01/10/19,"ProyectoJ","Capacitación",1,
01/10/19,"ProyectoL","Desarrollo",2,
01/10/19,"ProyectoJ","Desarrollo",16,
01/10/19,"ProyectoF","Test",4,
01/10/19,"ProyectoJ","Test",4,
01/10/19,"ProyectoJ","Desarrollo",16,
01/10/19,"ProyectoL","Desarrollo",60,
01/10/19,"ProyectoL","Desarrollo",6,
